"variable","lower","upper","x","y","description"
"2-pointers per game",-2.80472294613402,-1.65158247031144,0.844827586206897,-2.22815270822273,"2-pointers per game"
"2-pointers per game",-2.80311206077405,-1.65075584253803,0.846153846153846,-2.22693395165604,"2-pointers per game"
"2-pointers per game",-2.80311206077405,-1.65075584253803,0.846153846153846,-2.22693395165604,"2-pointers per game"
"2-pointers per game",-2.80152865391626,-1.64994309216321,0.847457627118644,-2.22573587303973,"2-pointers per game"
"2-pointers per game",-2.80108120088695,-1.64971337790557,0.847826086956522,-2.22539728939626,"2-pointers per game"
"2-pointers per game",-2.79487093547886,-1.64652331475838,0.852941176470588,-2.22069712511862,"2-pointers per game"
"2-pointers per game",-2.79400019784325,-1.64607576555929,0.853658536585366,-2.22003798170127,"2-pointers per game"
"2-pointers per game",-2.78977165081717,-1.64390138787761,0.857142857142857,-2.21683651934739,"2-pointers per game"
"2-pointers per game",-2.78977165081717,-1.64390138787761,0.857142857142857,-2.21683651934739,"2-pointers per game"
"2-pointers per game",-2.78977165081717,-1.64390138787761,0.857142857142857,-2.21683651934739,"2-pointers per game"
"2-pointers per game",-2.78297542026878,-1.64040335933889,0.862745098039216,-2.21168938980384,"2-pointers per game"
"2-pointers per game",-2.78297542026878,-1.64040335933889,0.862745098039216,-2.21168938980384,"2-pointers per game"
"2-pointers per game",-2.77821997522693,-1.63795329599793,0.866666666666667,-2.20808663561243,"2-pointers per game"
"2-pointers per game",-2.77703136071307,-1.6373405946723,0.867647058823529,-2.20718597769268,"2-pointers per game"
"2-pointers per game",-2.7760930505749,-1.63685683072615,0.868421052631579,-2.20647494065053,"2-pointers per game"
"2-pointers per game",-2.77244762974454,-1.63497662385503,0.871428571428571,-2.20371212679978,"2-pointers per game"
"2-pointers per game",-2.77052403244418,-1.63398401150089,0.873015873015873,-2.20225402197253,"2-pointers per game"
"2-pointers per game",-2.76811990010707,-1.6327429733153,0.875,-2.20043143671119,"2-pointers per game"
"2-pointers per game",-2.76811990010707,-1.6327429733153,0.875,-2.20043143671119,"2-pointers per game"
"2-pointers per game",-2.76289852521825,-1.63004588161497,0.879310344827586,-2.19647220341661,"2-pointers per game"
"2-pointers per game",-2.76206328264396,-1.62961421447197,0.88,-2.19583874855796,"2-pointers per game"
"2-pointers per game",-2.76090993290333,-1.62901804267194,0.880952380952381,-2.19496398778763,"2-pointers per game"
"2-pointers per game",-2.76042125354918,-1.62876540650315,0.88135593220339,-2.19459333002616,"2-pointers per game"
"2-pointers per game",-2.75921399996362,-1.6281411929849,0.882352941176471,-2.19367759647426,"2-pointers per game"
"2-pointers per game",-2.75921399996362,-1.6281411929849,0.882352941176471,-2.19367759647426,"2-pointers per game"
"2-pointers per game",-2.75755770229892,-1.62728458989393,0.883720930232558,-2.19242114609643,"2-pointers per game"
"2-pointers per game",-2.75755770229892,-1.62728458989393,0.883720930232558,-2.19242114609643,"2-pointers per game"
"2-pointers per game",-2.75647484263775,-1.62672442568065,0.884615384615385,-2.1915996341592,"2-pointers per game"
"2-pointers per game",-2.75571156485033,-1.62632951897926,0.885245901639344,-2.19102054191479,"2-pointers per game"
"2-pointers per game",-2.75435858214006,-1.62562938224344,0.886363636363636,-2.18999398219175,"2-pointers per game"
"2-pointers per game",-2.75130231731133,-1.624047239627,0.888888888888889,-2.18767477846917,"2-pointers per game"
"2-pointers per game",-2.75130231731133,-1.624047239627,0.888888888888889,-2.18767477846917,"2-pointers per game"
"2-pointers per game",-2.74885777859196,-1.62278117422061,0.890909090909091,-2.18581947640629,"2-pointers per game"
"2-pointers per game",-2.74885777859196,-1.62278117422061,0.890909090909091,-2.18581947640629,"2-pointers per game"
"2-pointers per game",-2.74885777859196,-1.62278117422061,0.890909090909091,-2.18581947640629,"2-pointers per game"
"2-pointers per game",-2.74766869564495,-1.62216513767839,0.891891891891892,-2.18491691666167,"2-pointers per game"
"2-pointers per game",-2.7420321579045,-1.61924327057048,0.896551724137931,-2.18063771423749,"2-pointers per game"
"2-pointers per game",-2.73786256188502,-1.61708002242815,0.9,-2.17747129215658,"2-pointers per game"
"2-pointers per game",-2.73549216231011,-1.61584953614718,0.901960784313726,-2.17567084922864,"2-pointers per game"
"2-pointers per game",-2.7321065655665,-1.61409119108325,0.904761904761905,-2.17309887832488,"2-pointers per game"
"2-pointers per game",-2.7321065655665,-1.61409119108325,0.904761904761905,-2.17309887832488,"2-pointers per game"
"2-pointers per game",-2.73132890775458,-1.61368716267094,0.905405405405405,-2.17250803521276,"2-pointers per game"
"2-pointers per game",-2.73132890775458,-1.61368716267094,0.905405405405405,-2.17250803521276,"2-pointers per game"
"2-pointers per game",-2.73102079101351,-1.61352706723619,0.905660377358491,-2.17227392912485,"2-pointers per game"
"2-pointers per game",-2.7289098013182,-1.61242998417496,0.907407407407407,-2.17066989274658,"2-pointers per game"
"2-pointers per game",-2.7268758730797,-1.61137257577118,0.909090909090909,-2.16912422442544,"2-pointers per game"
"2-pointers per game",-2.72546794038641,-1.61064039780956,0.91025641025641,-2.16805416909799,"2-pointers per game"
"2-pointers per game",-2.72443554558659,-1.61010340182388,0.911111111111111,-2.16726947370523,"2-pointers per game"
"2-pointers per game",-2.72443554558659,-1.61010340182388,0.911111111111111,-2.16726947370523,"2-pointers per game"
"2-pointers per game",-2.72302291709556,-1.60936847546631,0.912280701754386,-2.16619569628093,"2-pointers per game"
"2-pointers per game",-2.72060159705385,-1.6081083605741,0.914285714285714,-2.16435497881398,"2-pointers per game"
"2-pointers per game",-2.71943212514037,-1.60749955196853,0.915254237288136,-2.16346583855445,"2-pointers per game"
"2-pointers per game",-2.71607762072797,-1.60575257603414,0.918032786885246,-2.16091509838105,"2-pointers per game"
"2-pointers per game",-2.71181000326721,-1.60352861977413,0.92156862745098,-2.15766931152067,"2-pointers per game"
"2-pointers per game",-2.71181000326721,-1.60352861977413,0.92156862745098,-2.15766931152067,"2-pointers per game"
"2-pointers per game",-2.70998994432083,-1.60257965194051,0.923076923076923,-2.15628479813067,"2-pointers per game"
"2-pointers per game",-2.70998994432083,-1.60257965194051,0.923076923076923,-2.15628479813067,"2-pointers per game"
"2-pointers per game",-2.7076697103071,-1.60136946911137,0.925,-2.15451958970924,"2-pointers per game"
"2-pointers per game",-2.70546301333612,-1.6002180609465,0.926829268292683,-2.15284053714131,"2-pointers per game"
"2-pointers per game",-2.7049281086092,-1.59993889374053,0.927272727272727,-2.15243350117487,"2-pointers per game"
"2-pointers per game",-2.7013584514653,-1.59807523590372,0.930232558139535,-2.14971684368451,"2-pointers per game"
"2-pointers per game",-2.69761978259289,-1.59612212598162,0.933333333333333,-2.14687095428725,"2-pointers per game"
"2-pointers per game",-2.6958727023705,-1.59520901176091,0.934782608695652,-2.14554085706571,"2-pointers per game"
"2-pointers per game",-2.69553238735731,-1.59503111402217,0.935064935064935,-2.14528175068974,"2-pointers per game"
"2-pointers per game",-2.69502741898748,-1.59476712571167,0.935483870967742,-2.14489727234958,"2-pointers per game"
"2-pointers per game",-2.6830145316425,-1.58848032391982,0.945454545454545,-2.13574742778116,"2-pointers per game"
"2-pointers per game",-2.6830145316425,-1.58848032391982,0.945454545454545,-2.13574742778116,"2-pointers per game"
"2-pointers per game",-2.68155484285717,-1.58771553922833,0.946666666666667,-2.13463519104275,"2-pointers per game"
"2-pointers per game",-2.67754148288592,-1.58561181603388,0.95,-2.1315766494599,"2-pointers per game"
"2-pointers per game",-2.67754148288592,-1.58561181603388,0.95,-2.1315766494599,"2-pointers per game"
"2-pointers per game",-2.66969258367162,-1.58149344191986,0.956521739130435,-2.12559301279574,"2-pointers per game"
"2-pointers per game",-2.66365796540909,-1.57832331066825,0.961538461538462,-2.12099063803867,"2-pointers per game"
"2-pointers per game",-2.66035439773647,-1.57658649549886,0.964285714285714,-2.11847044661767,"2-pointers per game"
"2-pointers per game",-2.65619940648378,-1.57440067632557,0.967741935483871,-2.11530004140467,"2-pointers per game"
"2-pointers per game",-2.65277857771638,-1.57259992686732,0.970588235294118,-2.11268925229185,"2-pointers per game"
"2-pointers per game",-2.6499131237799,-1.57109073035726,0.972972972972973,-2.11050192706858,"2-pointers per game"
"2-pointers per game",-2.6499131237799,-1.57109073035726,0.972972972972973,-2.11050192706858,"2-pointers per game"
"2-pointers per game",-2.64824800232213,-1.57021339778832,0.974358974358974,-2.10923070005523,"2-pointers per game"
